        h           t         rho          mw         gam
  -8.5993E+02  3.2443E+03  1.5842E+00  2.0660E+01  1.1626E+00
  -8.5248E+02  3.2862E+03  1.5829E+00  2.0910E+01  1.1573E+00
  -8.4527E+02  3.3230E+03  1.5833E+00  2.1150E+01  1.1526E+00
  -8.3829E+02  3.3551E+03  1.5853E+00  2.1381E+01  1.1486E+00
  -8.3153E+02  3.3829E+03  1.5887E+00  2.1603E+01  1.1451E+00
  -8.2498E+02  3.4068E+03  1.5931E+00  2.1817E+01  1.1421E+00
  -8.1862E+02  3.4273E+03  1.5985E+00  2.2023E+01  1.1395E+00
  -8.1246E+02  3.4447E+03  1.6048E+00  2.2221E+01  1.1373E+00
  -8.0648E+02  3.4594E+03  1.6117E+00  2.2412E+01  1.1355E+00
  -8.0067E+02  3.4717E+03  1.6191E+00  2.2596E+01  1.1339E+00
  -7.9502E+02  3.4821E+03  1.6271E+00  2.2774E+01  1.1326E+00
  -7.8954E+02  3.4906E+03  1.6354E+00  2.2947E+01  1.1314E+00
  -7.8421E+02  3.4976E+03  1.6440E+00  2.3114E+01  1.1305E+00
  -7.7902E+02  3.5032E+03  1.6529E+00  2.3276E+01  1.1296E+00
  -7.7397E+02  3.5077E+03  1.6619E+00  2.3433E+01  1.1289E+00
  -7.6906E+02  3.5111E+03  1.6712E+00  2.3587E+01  1.1282E+00
  -7.6428E+02  3.5136E+03  1.6805E+00  2.3736E+01  1.1276E+00
